"age","Ltv0","A0","Ltv1","A1","Y"
53.7095844714667,1,0,1,0,316.812862350855
34.3530182860391,1,1,0,0,296.081023855883
43.6312841133734,1,0,0,0,250.492531883337
46.3286260496104,0,0,1,0,302.150103156539
44.04268323141,1,0,0,1,389.745231541194
38.9387548390852,1,0,0,0,367.874173192253
55.1152199743894,0,0,0,0,385.325614451627
39.053409615869,1,0,0,0,292.195232850075
60.1842371387704,0,1,1,0,445.745783823226
39.3728590094758,0,0,0,0,290.828050201409
53.0486965422349,0,0,0,1,371.200899343619
62.8664539270111,1,0,1,1,421.882086641209
26.1113929888766,1,0,1,0,309.952135973345
37.2121123318263,0,0,1,0,337.863048961245
38.6667866360634,1,1,0,1,362.897126457975
46.3595039807007,1,0,1,1,403.11535520418
37.1574707858393,0,1,1,1,470.87466880475
13.4354457909522,0,0,1,0,298.144562334277
15.5953307142448,0,0,0,0,238.681892723155
53.2011334573019,0,0,0,1,354.608207164165
36.9336140592153,0,0,1,1,372.487255780509
22.1869156602,1,0,0,1,273.896375733655
38.2808264424038,1,0,0,0,230.169142905709
52.146746991726,1,0,1,1,434.802871655467
58.9519346126497,1,0,0,0,292.133893391234
35.695308683938,1,0,1,0,319.917010072083
37.4273061723107,0,1,0,0,377.043218611873
22.3683691480522,0,1,1,1,404.164981163531
44.6009735483127,1,0,0,0,346.652165554404
33.6000512403988,0,1,0,0,274.548518582739
44.5545012324122,0,1,0,0,316.774855575598
47.0483733722882,0,0,0,0,300.882315393662
50.3510352196992,0,0,0,0,299.003918099785
33.9107362459279,1,0,1,0,329.256166023967
45.0495512329797,1,1,0,1,428.212185430113
22.8299132092666,1,0,0,0,294.789133379597
32.155409916205,0,1,1,0,393.706634686451
31.4909240582348,1,0,0,0,239.634600927082
15.8579235005337,0,1,0,0,281.381535025797
40.3612260689226,1,0,1,1,384.505866597955
42.0599860020025,1,0,1,0,314.644084086069
36.3894270145133,0,0,0,0,271.937365394606
47.5816323569952,0,1,1,0,374.153804617235
32.7329517292343,0,0,1,1,373.244981906402
26.3171895558071,0,0,0,0,296.986329979092
44.3281802588872,1,0,0,0,255.00113745009
31.8860682381333,0,1,1,0,367.324162345442
54.4410126172125,1,1,0,0,326.242780085124
35.6855379738665,1,1,0,0,321.84626060063
46.5564788340221,0,0,1,0,324.865295557238
43.2192526520395,1,0,0,1,321.78982550023
32.1616105911962,0,1,0,0,310.950918675943
55.7572751979198,0,1,1,0,452.981473007344
46.4289930571732,1,0,0,0,321.121320224833
40.8976064659961,0,0,0,0,293.010992906736
42.7655074729146,1,0,0,1,320.144350525778
46.7928881605527,1,0,0,0,294.430433090638
40.8983288657908,1,0,0,1,335.482527273148
10.0690991684707,1,0,0,0,261.924386429901
42.8488295353066,0,0,0,1,352.08884467309
36.3276535725902,1,1,1,1,414.713617620424
41.8523056486561,1,0,0,0,279.441275084604
45.8182372736551,1,0,1,0,280.598588088321
53.9973682729268,1,0,0,0,291.609601083323
32.7270794052554,0,0,1,0,294.357639421223
53.0254263204414,1,0,0,0,280.269708517976
43.3584811975207,0,0,1,0,370.905719708834
50.3850609869762,0,0,0,1,393.479431856154
49.2072856829065,1,0,0,0,281.405149607855
47.2087816286686,1,1,1,0,408.16863706056
29.5688106143214,0,0,0,1,331.267331944671
39.0981361338929,1,1,0,1,390.883497359565
46.2351816199954,1,1,0,1,448.253902099498
30.4647664222766,1,0,1,1,310.70652720495
34.5717118542614,1,0,1,1,360.385841020756
45.8099649768168,0,0,0,1,381.154722731707
47.6817873783459,0,0,0,0,280.864724775446
44.6376758854017,0,0,0,0,260.087125315961
31.1422370259032,1,1,0,0,304.378710518263
29.0021910135214,1,0,1,1,374.321272669729
55.1270700980493,0,0,0,1,360.334996419305
42.5792143753203,0,0,1,1,340.648182782069
40.8844022915959,1,0,1,0,351.758256812057
38.7910346246091,0,0,1,1,373.6872631553
28.0567110483947,0,0,0,1,333.468898912081
46.1199689804039,1,0,1,0,309.095585568856
37.8286015425348,0,0,1,1,388.665698321991
38.1724329366808,0,1,1,0,335.125475471879
49.3334632857116,1,1,0,0,361.983471204055
48.2177311050825,0,0,0,1,361.251531566596
53.9211637593427,1,0,1,1,349.751010882114
35.2382607694533,1,1,1,0,386.894905575524
46.503485607263,0,0,0,0,247.071896339346
53.9111045639,1,1,1,1,416.697438899074
28.892111205521,1,0,0,1,345.773413086541
31.3920741312216,0,1,0,0,311.540418605836
28.6826131914623,1,0,0,0,279.905300355145
25.407860004976,1,0,0,0,255.603829310939
40.7998255324116,0,1,0,0,267.979634029314
46.5320433964919,0,1,1,0,337.504687002087
52.0096537559849,1,1,0,0,321.809762926311
50.4475108716773,0,1,1,1,426.189748623198
29.9679135316015,1,0,0,1,329.973743905415
58.4848190167275,1,0,0,1,338.983834514867
33.3322659124218,0,1,1,1,400.361639785556
41.0551381245607,1,0,1,0,339.892107926687
35.7774411813114,1,1,1,0,339.54698652902
38.7764982804503,0,0,0,0,334.160288084363
41.881930345015,0,0,0,1,332.531782046551
41.1916095799701,0,0,0,0,338.436319521255
39.749074491326,1,0,1,0,310.943618215396
41.0807272794203,0,0,0,0,248.241615156798
35.1456476415333,0,1,0,0,380.94628194857
34.957828693121,1,0,1,0,352.895072075459
23.3890092008519,0,1,0,1,383.303093157511
36.1766627312618,0,1,0,1,447.171471900788
34.873497421222,1,0,1,1,383.447281394416
67.018910003448,1,0,0,0,337.523935759178
26.3788376881028,1,1,1,1,405.357983381167
41.3725621855861,1,0,0,0,230.520501427076
25.0637493268371,0,1,1,0,281.287615149841
25.295642585632,0,0,0,0,263.564753337635
41.2470238619701,1,1,0,1,367.421443676061
30.0336086511596,1,1,1,0,374.052195648981
39.9817738569529,1,0,1,0,300.292078977556
35.7174111857418,0,0,0,0,334.507741806815
33.863283935505,1,1,0,0,313.630234720615
19.7532215458089,0,1,0,1,254.133411082459
27.7525204964001,0,0,1,0,357.606499380131
41.7951644111794,0,0,0,0,299.401159245413
45.6762059442353,0,1,1,1,438.768306807205
35.0712264644653,1,0,0,0,253.283652071321
40.0006288406535,1,0,0,1,354.439006335361
51.2288964337997,1,0,0,1,372.37008777905
54.3985574297619,0,0,1,0,385.055188161653
29.0288623159418,1,0,1,1,356.271717368975
38.8268043974982,1,0,0,1,325.235128123407
52.014984009197,0,1,0,0,365.984358366496
35.302704194337,1,1,1,0,311.27294730955
39.47530515061,1,1,0,0,338.877240629526
39.1389270176291,0,0,0,0,270.975699672836
31.1232098209357,0,0,0,0,332.879729783224
35.5531599511526,1,0,0,0,264.595269343812
39.7055512091176,1,1,1,1,434.275930676639
35.8613115094208,1,0,0,1,293.802110771406
51.133860233682,0,0,0,0,269.412034699809
35.1900715834602,1,0,0,0,225.411987895988
