"id","A0","L0","Y","A1","L1"
1,1,-0.326036490515386,7.94461271692625,1,1.24809973059733
2,0,0.552461855419139,6.58611661388803,1,-0.214916271249028
3,1,-0.67494384395583,5.82130831434694,1,-0.347480775867678
4,0,0.214359459043425,6.00377771886094,1,0.58328169258744
5,1,0.310769217313602,10.5513554563395,1,1.05476715962743
6,0,1.1739662875627,6.1429308529403,1,-0.324986146604166
7,0,0.618789855625968,1.33376608993214,0,-0.723623276439032
8,1,-0.112734314754215,8.53345134058835,1,0.807949232664182
9,1,0.917028289512712,10.5054623482977,1,1.39940428915309
10,1,-0.223259364627263,9.01673710339111,1,-0.513426485744676
11,1,0.526448098873642,6.23803146290246,0,0.361679615663234
12,0,-0.794844435415055,3.01323375533111,1,-0.777068072032445
13,1,1.42775554468304,10.2312164349599,1,0.511957801895105
14,0,-1.46681969416347,-0.565616684991021,0,-0.468438578571313
15,0,-0.236683378602896,2.24255467854074,0,-0.878890242254071
16,1,-0.1933379649975,5.17200259104096,0,0.257089557093476
17,0,-0.849754740333862,1.28003580164551,0,0.869431509968541
18,0,0.0584654978495017,5.31337158353017,1,0.381326013904212
19,0,-0.817670355875958,1.57903520575467,0,-0.388839257170223
20,0,-2.05030781563963,0.00300790623963199,1,-1.38243016105325
21,1,-0.163755665941423,7.49671934516057,1,0.0653164976327956
22,0,0.708522104156376,6.17069848452139,1,0.754562995960389
23,1,-0.267980546181617,7.78787617148784,1,-0.420773046190039
24,1,-1.46392175987102,1.81072958900031,0,0.36522369825937
25,0,0.744435822875318,5.10818786547919,1,1.49687840693886
26,1,-1.4103901810052,1.39518525601043,0,-1.0236685258677
27,1,0.467067606015246,7.35536270589014,1,0.532556202726801
28,1,-0.119320107694245,3.86101276544966,0,0.0737194478531365
29,1,0.467238961765515,9.78654862847493,1,-0.424099929054679
30,1,0.498135564435914,8.87056505934204,1,0.929713649461613
31,0,0.894937200540396,6.11383063954959,1,1.55485854110313
32,0,0.279151996413743,2.43899457157255,0,-0.184587133433231
33,1,1.00786575031424,10.7886355500654,1,0.324195766397381
34,1,-2.07310649057379,3.90727530914891,1,-0.622814445022572
35,1,1.18985338378285,11.6590908446318,1,2.28794559265963
36,0,-0.724374218369974,1.45315535336296,0,-0.201299762198429
37,0,0.167983772348879,3.12223603166074,0,0.187325831305261
38,1,0.920335158580844,8.85518597632956,0,1.03022702053623
39,1,-1.67160481202292,0.336975288227547,0,-0.0640003031310281
40,0,0.448469069614306,1.90215038592436,0,0.111775375560304
41,0,0.482458809858766,2.76199186083322,0,0.337485649102784
